run_id,fishery_id,time_step,legal_marked,sublegal_marked,legal_unmarked,sublegal_unmarked
9,23,3,0,0,0,0
9,24,3,0,0,0,0
9,25,3,0,0,0,0
9,26,3,0,0,0,0
9,27,3,0,0,0,0
9,30,3,0,0,0,0
9,31,3,0,0,0,0
9,32,3,0,0,0,0
9,33,3,0,0,0,0
9,34,3,0,0,0,0
9,35,3,0,0,0,0
9,36,3,1569.451084,1091.2354799999998,1657.755845,807.78609
9,37,3,299.675946,0,3540.2078890000003,0
9,38,3,0,0,0,0
9,39,3,0,0,0,0
9,40,3,0,0,0,0
9,41,3,0,0,0,0
9,42,3,4652.734175,8552.350639999999,2912.126778,8489.241984999999
9,44,3,0,0,0,0
9,45,3,0,0,0,0
9,47,3,0,0,0,0
9,48,3,0,0,0,0
9,50,3,0,0,0,0
9,51,3,0,0,0,0
9,52,3,0,0,0,0
9,53,3,5390.394755,6243.359885,1035.65636,1073.72
9,54,3,5465.776664,2792.1542,1377.429987,781.2069499999999
9,55,3,0,0,0,0
9,56,3,4261.276078,5063.591579999999,1057.232434,1528.754925
9,57,3,3035.698309,2878.7578949999997,593.946056,730.806335
9,58,3,0,0,0,0
9,59,3,0,0,0,0
9,60,3,0,0,0,0
9,61,3,0,0,0,0
9,62,3,226.894174,408.97819499999997,60.206976000000004,112.953875
9,63,3,0,0,0,0
9,64,3,2651.777501,1027.028715,176.730595,89.48493500000001
9,65,3,0,0,0,0
9,66,3,0,0,0,0
9,67,3,2214.411564,1921.2692999999997,216.32518100000001,168.621325
9,69,3,0,0,0,0
9,71,3,0,0,0,0
10,1,3,0,0,0,0
10,2,3,0,0,0,0
10,3,3,0,0,0,0
10,4,3,0,0,0,0
10,5,3,0,0,0,0
10,6,3,0,0,0,0
10,7,3,0,0,0,0
10,8,3,0,0,0,0
10,9,3,0,0,0,0
10,10,3,0,0,0,0
10,11,3,0,0,0,0
10,13,3,0,0,0,0
10,14,3,0,0,0,0
10,15,3,0,0,0,0
10,16,3,0,0,0,0
10,17,3,0,0,0,0
10,18,3,0,0,0,0
10,20,3,0,0,0,0
10,21,3,0,0,0,0
10,22,3,0,0,0,0
10,23,3,0,0,0,0
10,24,3,0,0,0,0
10,25,3,0,0,0,0
10,26,3,0,0,0,0
10,27,3,0,0,0,0
10,30,3,0,0,0,0
10,31,3,0,0,0,0
10,32,3,0,0,0,0
10,33,3,0,0,0,0
10,34,3,0,0,0,0
10,35,3,0,0,0,0
10,36,3,2037.1388259999999,1350.3534149999998,2768.922319,1222.355725
10,37,3,299.51879,0,5111.619496,0
10,38,3,0,0,0,0
10,39,3,0,0,0,0
10,40,3,0,0,0,0
10,41,3,0,0,0,0
10,42,3,4438.574505,8706.527005,2903.946194,6823.139705
10,44,3,0,0,0,0
10,45,3,0,0,0,0
10,47,3,0,0,0,0
10,50,3,0,0,0,0
10,51,3,0,0,0,0
10,52,3,0,0,0,0
10,53,3,5386.414287,8672.22008,1381.956798,1717.448115
10,54,3,6925.581484,3961.415545,2474.41077,1424.511305
10,56,3,4543.399723,5857.734725,1344.793761,2894.8103349999997
10,57,3,3218.109361,2526.2293149999996,813.134656,846.548595
10,59,3,0,0,0,0
10,60,3,0,0,0,0
10,61,3,0,0,0,0
10,62,3,289.505328,488.972895,113.036509,206.19910499999997
10,63,3,0,0,0,0
10,64,3,2091.84998,720.312985,169.051773,82.20612499999999
10,65,3,0,0,0,0
10,66,3,0,0,0,0
10,67,3,3245.711906,1458.09717,1411.532074,570.98221
10,69,3,0,0,0,0
10,71,3,0,0,0,0
11,1,3,0,0,0,0
11,2,3,0,0,0,0
11,3,3,0,0,0,0
11,4,3,0,0,0,0
11,5,3,0,0,0,0
11,6,3,0,0,0,0
11,7,3,0,0,0,0
11,8,3,0,0,0,0
11,9,3,0,0,0,0
